Diplôme (code),"Année 
de  
l'inscription",Version diplôme (code),Diplôme SISE (code),Diplôme SISE (type),Diplôme SISE intitulé 1 (lib.),Diplôme SISE intitulé 2 (lib.),"Diplôme 
intermédiaire
SISE (code)",Diplôme intermédiaire SISE (lib.)
CLGE08,2008,80,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGE08,2009,80,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGE08,2010,80,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGE08,2011,80,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGE08,2008,81,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGE08,2009,81,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGE08,2010,81,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGE08,2011,81,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGM12,2012,120,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGM12,2013,120,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGM12,2014,120,2006140,LICENCE PROF,AMENAGEMENT DU TERRITOIRE ET URBANISME,"AMENAGEMENT DU TERRITOIRE, DEVELOPPEMENT, URBANISME (GEOMATIQUE E ET AMENAGEMENT)",,
CLGO12,2012,120,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGO12,2013,120,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGO12,2014,120,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,1001268,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CLGO12,2012,121,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGO12,2013,121,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGO12,2014,121,2100194,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,,
CLGO14,2014,140,2300012,LICENCE (LMD),GEOGRAPHIE ET AMENAGEMENT,,,
CMGE,2007,41,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004987,SHS  SCI.   GEOGRAPHIQUES
CMGE,2007,42,2221043,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,STRUCTURE ET DYNAMIQUE SPATIALE (SDS),,
CMGE,2007,43,2211483,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS,,
CMGE,2007,44,2211484,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"GEOPROSPECTIVE, AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGE,2007,45,2211482,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,GESTION DE PROJETS HYDROTECHNIQUES ET ENVIRONNEMENTAUX-HYDROPROTECH,,
CMGE08,2008,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGE08,2009,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGE08,2010,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGE08,2011,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGE08,2008,81,2211484,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"GEOPROSPECTIVE, AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGE08,2009,81,2211484,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"GEOPROSPECTIVE, AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGE08,2010,81,2211484,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"GEOPROSPECTIVE, AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGE08,2011,81,2211484,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"GEOPROSPECTIVE, AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGE08,2008,82,2221043,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,STRUCTURE ET DYNAMIQUE SPATIALE (SDS),,
CMGE08,2009,82,2221043,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,STRUCTURE ET DYNAMIQUE SPATIALE (SDS),,
CMGE08,2010,82,2221043,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,STRUCTURE ET DYNAMIQUE SPATIALE (SDS),,
CMGE08,2011,82,2221043,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,STRUCTURE ET DYNAMIQUE SPATIALE (SDS),,
CMGE08,2008,83,2211483,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS,,
CMGE08,2009,83,2211483,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS,,
CMGE08,2010,83,2211483,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS,,
CMGE08,2011,83,2211483,MASTER (LMD),SCIENCES DE L'HOMME ET DE LA SOCIETE : SCIENCES GEOGRAPHIQUES,GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS,,
CMGE08,2009,84,2215949,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"CLIMAT, RISQUES, ENVIRONNEMENT, SANTE (CRES)",,
CMGE08,2010,84,2215949,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"CLIMAT, RISQUES, ENVIRONNEMENT, SANTE (CRES)",,
CMGE08,2011,84,2215949,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"CLIMAT, RISQUES, ENVIRONNEMENT, SANTE (CRES)",,
CMGEG08,2008,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGEG08,2009,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGEG08,2010,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGEG08,2011,80,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004757,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES
CMGEG08,2008,81,2210321,MASTER (LMD),"DROIT, ECONOMIE, GESTION : MANAGEMENT",GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS (GATH),,
CMGEG08,2009,81,2210321,MASTER (LMD),"DROIT, ECONOMIE, GESTION : MANAGEMENT",GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS (GATH),,
CMGEG08,2010,81,2210321,MASTER (LMD),"DROIT, ECONOMIE, GESTION : MANAGEMENT",GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS (GATH),,
CMGEG08,2011,81,2210321,MASTER (LMD),"DROIT, ECONOMIE, GESTION : MANAGEMENT",GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS (GATH),,
CMGEGA,2007,41,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2003968,ADMINISTRATION DES AFFAIRES : SCIENCES GEOGRAPHIQUES
CMGEGA,2007,42,2210321,MASTER (LMD),"DROIT, ECONOMIE, GESTION : MANAGEMENT",GESTION DES AMENAGEMENTS TOURISTIQUES ET HOTELIERS (GATH),,
CMGES,2007,41,2200420,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES :GEOGRAPHIE,,2004951,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES GEOGRAPHIQUES"
CMGES,2007,42,2212311,MASTER (LMD),"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",GESTION DE PROJETS HYDROTECHNOLOGIQUES ET ENVIRONNEMENTAUX - HYDROPROTECH,,
CMGES,2007,43,2212312,MASTER (LMD),"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",HYDROINFORMATIQUE,,
CMGO12,2012,120,2200612,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,2004713,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CMGO12,2013,120,2200612,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,2004713,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CMGO12,2014,120,2200612,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,,2004713,SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE
CMGO12,2012,121,2215949,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"CLIMAT, RISQUES, ENVIRONNEMENT, SANTE (CRES)",,
CMGO12,2013,121,2215949,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"CLIMAT, RISQUES, ENVIRONNEMENT, SANTE (CRES)",,
CMGO12,2014,121,2215949,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : GEOGRAPHIE,"CLIMAT, RISQUES, ENVIRONNEMENT, SANTE (CRES)",,
CMGO12,2012,122,2205845,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:GEOGRAPHIE,"GEOPROSPECTIVE,AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGO12,2013,122,2205845,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:GEOGRAPHIE,"GEOPROSPECTIVE,AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGO12,2014,122,2205845,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:GEOGRAPHIE,"GEOPROSPECTIVE,AMENAGEMENT ET DURABILITE DES TERRITOIRES",,
CMGT12,2012,120,2201204,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : TOURISME,,2005740,SCIENCES HUMAINES ET SOCIALES : TOURISME
CMGT12,2013,120,2201204,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : TOURISME,,2005740,SCIENCES HUMAINES ET SOCIALES : TOURISME
CMGT12,2014,120,2201204,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : TOURISME,,2005740,SCIENCES HUMAINES ET SOCIALES : TOURISME
CMGT12,2012,121,2217017,MASTER LMD,SCIENCES HUMAINES ET SOCIALES : TOURISME,HOTELLERIE INTERNATIONALE,,
CMGT12,2013,121,2217017,MASTER LMD,SCIENCES HUMAINES ET SOCIALES : TOURISME,HOTELLERIE INTERNATIONALE,,
CMGT12,2014,121,2217017,MASTER LMD,SCIENCES HUMAINES ET SOCIALES : TOURISME,HOTELLERIE INTERNATIONALE,,
CMGT12,2012,122,2216823,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:TOURISME,AMENAGEMENT ET MANAGEMENT DU TOURISME,,
CMGT12,2014,122,2216823,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:TOURISME,AMENAGEMENT ET MANAGEMENT DU TOURISME,,
D6DED,2007,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2008,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2009,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2010,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2011,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2012,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2013,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DED,2014,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2007,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2008,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2009,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2010,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2011,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2012,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEED,2013,981,4200041,DOCT.UNI.G,SCIENCES JURIDIQUES,,,
D6DEHDD,2007,981,4100444,DOCTORAT,HISTOIRE DU DROIT ET DES INSTITUTIONS,,,
D6DEHDD,2008,981,4100444,DOCTORAT,HISTOIRE DU DROIT ET DES INSTITUTIONS,,,
D6DEHDD,2009,981,4100444,DOCTORAT,HISTOIRE DU DROIT ET DES INSTITUTIONS,,,
D6DSE,2007,981,4200043,DOCT.UNI.G,SCIENCES ECONOMIQUES,,,
D6DSE,2008,981,4200043,DOCT.UNI.G,SCIENCES ECONOMIQUES,,,
D6DSE,2009,981,4200043,DOCT.UNI.G,SCIENCES ECONOMIQUES,,,
D6DSE,2010,981,4200043,DOCT.UNI.G,SCIENCES ECONOMIQUES,,,
D6DSE,2011,981,4200043,DOCT.UNI.G,SCIENCES ECONOMIQUES,,,
D6DSPO,2007,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2008,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2009,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2010,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2011,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2012,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2013,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
D6DSPO,2014,981,4200042,DOCT.UNI.G,SCIENCES POLITIQUES,,,
DAL,2007,981,,,,,,
DAL,2008,981,,,,,,
DAL,2009,981,,,,,,
DAL,2010,981,,,,,,
DAL,2011,981,,,,,,
DAL,2012,981,,,,,,
DAL,2013,981,,,,,,
DAL,2014,981,,,,,,
DCAP,2007,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2008,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2009,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2010,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2011,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2012,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2013,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DCAP,2014,1,8000001,CAPA DROIT,CAPACITE EN DROIT,,,
DERAS,2007,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2008,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2009,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2010,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2011,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2012,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2013,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DERAS,2014,981,9051561,DIP.INTERN,DIPLOMES INTERNATIONAUX EN PLURI DROIT - SCIENCES POLITIQUES - BAC+1 A BAC+5,,,
DHADRD,2007,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2008,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2009,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2010,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2011,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2012,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2013,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRD,2014,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRE,2007,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRE,2008,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRE,2009,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRE,2010,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DHADRE,2011,981,9036636,HDR à partir 2005 DR,DIPLOME ETABLISSEMENT HDR SCIENCES JURIDIQUES,,,
DIDE,2007,981,1000459,DEUG IUP,MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIDS,2007,1,1000459,DEUG IUP,MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIDT,2007,1,1000461,DEUG IUP,"METIERS DU TRANSPORT DE L'HOTELLERIE, DU TOURISME ET DES LOISIRS",,,
DILE,2007,1,2001825,LIC(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DILJ,2007,981,2001825,LIC(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DILS,2007,1,2001825,LIC(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DILT,2007,1,2001826,LIC(IUP),"METIERS DU TRANSPORT, DE L'HOTELLERIE, DU TOURISME ET DES LOISIRS",,,
DILT,2010,1,2001826,LIC(IUP),"METIERS DU TRANSPORT, DE L'HOTELLERIE, DU TOURISME ET DES LOISIRS",,,
DIME,2007,1,2001836,MAITR(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIME,2008,1,2001836,MAITR(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIMJ,2007,1,2001836,MAITR(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIMJ,2008,1,2001836,MAITR(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIMS,2007,1,2001836,MAITR(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIMS,2008,1,2001836,MAITR(IUP),MANAGEMENT ET GESTION DES ENTREPRISES,,,
DIMT,2007,1,2001837,MAITR(IUP),"METIERS DU TRANSPORT, DE L'HOTELLERIE, DU TOURISME ET DES LOISIRS",,,
DIMT,2008,1,2001837,MAITR(IUP),"METIERS DU TRANSPORT, DE L'HOTELLERIE, DU TOURISME ET DES LOISIRS",,,
DL3SE08,2008,80,2100363,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ECONOMIE, GESTION",,,
DL3SE08,2009,80,2100363,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ECONOMIE, GESTION",,,
DLAES08,2008,80,2101001,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE",,,
DLAES08,2009,80,2101001,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE",,,
DLAES08,2010,80,2101001,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE",,,
DLAES08,2011,80,2101001,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE",,,
DLAES08,2008,81,2101001,LICENCE (LMD),"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE",,1001493,"DROIT, ECONOMIE, GESTION : ADMINISTRATION ECONOMIQUE ET SOCIALE"
