ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,Manager des centres,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2007,2210853,UFR Droit,"DROIT, ECONOMIE, GESTION : MACROECONOMIE ET FINANCE INTERNATIONALE",FINANCE INTERNATIONALE ET INTEGRATION EUROPENNE,,ECONOMIE,,,,,
,Rédacteur service communal de prévention,,,,,,,,,CDD,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",de 200 à 499,,,1000 à 1500,,Candidature spontanée,4 à 6 mois,2007,2210683,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,POLITIQUE DE LA VILLE,,SCIENCES POLITIQUES,,,,,
,Manager des opérations des importations,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 50 à 199,,,Moins de 1000,,Réussite concours administratif,4 à 6 mois,2007,2220559,UFR Droit,"DROIT, ECONOMIE, GESTION : MACROECONOMIE ET FINANCE INTERNATIONALE","FINANCE, CROISSANCE ET DEVELOPPEMENT",,ECONOMIE,,,,,
,Chargé(e) d'études urbanisme,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise publique,,de 200 à 499,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2210682,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,METIERS DE L'IMMOBILIER ET DE L'URBANISME,,SCIENCES POLITIQUES,,,,,
,Rédacteur - gouvernement monégasque,,,,,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,2000 à 2500,,Candidature spontanée,12 mois et plus,2007,2210679,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,ORGANISATION ET ADMINISTRATION DES COLLECTIVITES PUBLIQUES,,SCIENCES POLITIQUES,,,,,
,Chargé(e) de mission ressources humaines,SUPPORT À L'ENTREPRISE,Ressources humaines,M1502,Développement des ressources humaines,,,,,CDI,,Une entreprise privée,"Administration publique, enseignement, santé humaine et action sociale",de 3 à 9,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE,,,,,
,Responsable marketing et communication,,,,,,,,,CDI,Niveau technicien ou agent de maîtrise,Une association,Autres activités de service,de 10 à 49,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2007,2210328,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE DU SPORT,,DROIT,,,,,
,Chef de projet du cucs de Cagnes-sur-Mer,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1802,Développement local,,,,,CDD,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",500 et plus,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210683,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,POLITIQUE DE LA VILLE,,SCIENCES POLITIQUES,,,,,
,Responsable recrutement,SUPPORT À L'ENTREPRISE,Ressources humaines,M1502,Développement des ressources humaines,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,de 3 à 9,,,2000 à 2500,,Réseau de relations personnelles,12 mois et plus,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE,,,,,
,Assureur,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1102,Conseil clientèle en assurances,,,,,Fonctionnaire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",Activités financières et d'assurance,de 3 à 9,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2007,2210837,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DES PME ET PMO,,ECONOMIE,,,,,
,Collaborateur(trice) juridique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,CDI,Niveau ouvrier ou employé,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Autres activités de service,de 3 à 9,,,1500 à 2000,,Candidature spontanée,1 à 3 mois,2007,2210326,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",GESTION JURIDIQUE DES RISQUES ET DEVELOPPEMENT DURABLE,,DROIT,,,,,
,Secrétaire comptable,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1608,Secrétariat comptable,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,de 1 à 2,,,Moins de 1000,,Réseau de relations personnelles,12 mois et plus,2007,2210679,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,ORGANISATION ET ADMINISTRATION DES COLLECTIVITES PUBLIQUES,,SCIENCES POLITIQUES,,,,,
,Chargé(e) d'études,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1105,Études actuarielles en assurances,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,2000 à 2500,,Candidature spontanée,4 à 6 mois,2007,2210837,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DES PME ET PMO,,ECONOMIE,,,,,
,Gérant(e) de société de conseil juridique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Autres activités de service,de 1 à 2,,,2000 à 2500,,Réseau de relations personnelles,Accès direct,2007,2210327,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE D'ENTREPRISE,,DROIT,,,,,
,Conseiller(e) commercial(e),"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1102,Conseil clientèle en assurances,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,1000 à 1500,,Candidature spontanée,4 à 6 mois,2007,2210837,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DES PME ET PMO,,ECONOMIE,,,,,
,Sales produits structurés,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,2500 et plus,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE,,,,,
,Gérant(e) de société,,,,,,,,,"Profession libérale, Indépendant, Chef d'entreprise",,Une entreprise privée,,,,,,,,12 mois et plus,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE,,,,,
,Chargé(e) de mission,,,,,,,,,Vacataire,Niveau technicien ou agent de maîtrise,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,1000 à 1500,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE,,,,,
,Fonctionnaire des douanes et droits indirects,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Contrôle public,K1501,Application des règles financières publiques,,,,,Fonctionnaire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",,500 et plus,,,1500 à 2000,,Réussite concours administratif,12 mois et plus,2007,2210328,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE DU SPORT,,DROIT,,,,,
,Gestionnaire de clientèle,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1206,Gestion de clientèle bancaire,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Activités financières et d'assurance,de 3 à 9,,,1500 à 2000,,Candidature spontanée,4 à 6 mois,2007,2220559,UFR Droit,"DROIT, ECONOMIE, GESTION : MACROECONOMIE ET FINANCE INTERNATIONALE","FINANCE, CROISSANCE ET DEVELOPPEMENT",,ECONOMIE,,,,,
,Restauration polyvalent,HÔTELLERIE- RESTAURATION TOURISME LOISIRS ET ANIMATION,Production culinaire,G1603,Personnel polyvalent en restauration,,,,,CDD,Niveau ouvrier ou employé,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2007,2210683,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,POLITIQUE DE LA VILLE,,SCIENCES POLITIQUES,,,,,
,Collaborateur(trice) de cabinet,,,,,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",,500 et plus,,,2500 et plus,,Candidature spontanée,7 à 11 mois,2007,2210693,UFR Droit,DROIT ET SCIENCE POLITIQUE : REGULATIONS INTERNATIONALES ET EUROPEENNES,GOUVERNANCE ET METIERS DU POLITIQUE EN FRANCE ET EN EUROPE,,SCIENCES POLITIQUES,,,,,
,Directeur(trice) d'agence bancaire,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1207,Management en exploitation bancaire,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 3 à 9,,,2000 à 2500,,A l'issue d'un stage / formation professionnelle,Accès direct,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE,,,,,
,Chargé(e) de ressources humaines corporate,SUPPORT À L'ENTREPRISE,Ressources humaines,M1502,Développement des ressources humaines,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,500 et plus,,,2000 à 2500,,Candidature spontanée,12 mois et plus,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE,,,,,
,Juriste cabinet d'expertise comptable,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Activités financières et d'assurance,de 3 à 9,,,1500 à 2000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,12 mois et plus,2007,2210326,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",GESTION JURIDIQUE DES RISQUES ET DEVELOPPEMENT DURABLE,,DROIT,,,,,
,Contrôleur(se) de gestion,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1204,Contrôle de gestion,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210869,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",BANQUE ET FINANCE INTERNATIONALE,,ECONOMIE,,,,,
,Collaborateur(trice) dans un cabinet d'avocat,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",,de 3 à 9,,,,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2210677,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,GESTION DES CONTENTIEUX,,DROIT,,,,,
,Chargé(e) mission presse,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 3 à 9,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,12 mois et plus,2007,2220501,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,EXPERTISE DU POLITIQUE ET AFFAIRES PUBLIQUES,,SCIENCES POLITIQUES,,,,,
,Fiscaliste junior,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Activités financières et d'assurance,de 50 à 199,,,1500 à 2000,,Réseau de relations personnelles,7 à 11 mois,2007,2210332,UFR Droit,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",STRATEGIE FISCALE DE L'ENTREPRISE,,GESTION,,,,,
,Notaire stagiaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1901,Aide et médiation judiciaire,,,,,CDI,Niveau technicien ou agent de maîtrise,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",,de 10 à 49,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,Accès direct,2007,2210676,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,DROIT NOTARIAL,,DROIT,,,,,
,Gestionnaire ressources humaines,SUPPORT À L'ENTREPRISE,Ressources humaines,M1501,Assistanat en ressources humaines,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Construction,de 200 à 499,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,Accès direct,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE,,,,,
,Juriste en entreprise (BTP),SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Construction,500 et plus,,,1500 à 2000,,Réseau de relations personnelles,12 mois et plus,2007,2210679,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,ORGANISATION ET ADMINISTRATION DES COLLECTIVITES PUBLIQUES,,SCIENCES POLITIQUES,,,,,
,Clerc de notaire aux actes courants,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaboration juridique,,,,,CDD,Niveau technicien ou agent de maîtrise,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",,de 10 à 49,,,1500 à 2000,,A l'issue d'un stage / formation professionnelle,1 à 3 mois,2007,2210676,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,DROIT NOTARIAL,,DROIT,,,,,
,Consultant(e) en recrutement,SUPPORT À L'ENTREPRISE,Ressources humaines,M1502,Développement des ressources humaines,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,de 10 à 49,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2007,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE,,,,,
,Chargé(e) d'études statistiques,SUPPORT À L'ENTREPRISE,Organisation et études,M1403,Études et prospectives socio-économiques,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,1500 à 2000,,Candidature spontanée,1 à 3 mois,2007,2210853,UFR Droit,"DROIT, ECONOMIE, GESTION : MACROECONOMIE ET FINANCE INTERNATIONALE",FINANCE INTERNATIONALE ET INTEGRATION EUROPENNE,,ECONOMIE,,,,,
,Adjoint(e) Technique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,CDD,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",de 200 à 499,,,1000 à 1500,,Réseau de relations personnelles,1 à 3 mois,2007,2211484,UFR Espaces et Cultures,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,"IMAGE,MULTIMEDIA ET SCIENCES TERRITORIALES (IMST)",,GEOGRAPHIE,,,,,
,Ingénieur web,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 10 à 49,,,1500 à 2000,,Candidature spontanée,7 à 11 mois,2007,2211484,UFR Espaces et Cultures,SCIENCES HUMAINES ET SOCIALES : SCIENCES GEOGRAPHIQUES,"IMAGE,MULTIMEDIA ET SCIENCES TERRITORIALES (IMST)",,GEOGRAPHIE,,,,,
,Fragrance stability manager,INDUSTRIE,Qualité et analyses industrielles,H1505,Intervention technique en formulation et analyse sensorielle,,,,,CDI,,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2000 à 2500,,Candidature spontanée,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE,,,,,
,Chargé(e) en assurance qualité et dév. Durable,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 200 à 499,,,1500 à 2000,,Candidature spontanée,Accès direct,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE,,,,,
,Global data manager,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1801,Administration de systèmes d'information,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2500 et plus,,Candidature spontanée,4 à 6 mois,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE,,,,,
,Technicien(ne) de laboratoire,INDUSTRIE,Méthodes et gestion industrielles,H1403,Intervention technique en gestion industrielle et logistique,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 3 à 9,,,1500 à 2000,,Organismes d'aides aux demandeurs d'emploi / services universitaires,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE,,,,,
,Responsable stérilisation assurance qualité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,Intérimaire,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Industries (manufacturières, extractives et autres)",de 50 à 199,,,1500 à 2000,,Agence d'intérim,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE,,,,,
,Chargé(e) d'affaires réglementaires,INDUSTRIE,Affaires et support technique client,H1102,Management et ingénierie d'affaires,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2007,2212304,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : CHIMIE","FORMULATION, ANALYSE, QUALITE (FOQUAL)",,CHIMIE,,,,,
,Juriste,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,Fonctionnaire,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)","Administration publique, enseignement, santé humaine et action sociale",de 200 à 499,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2007,2210677,UFR Droit,DROIT ECONOMIE GESTION : DROIT PRIVE,GESTION DES CONTENTIEUX,,DROIT,,,,,
,Chargé(e) de clientèle,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,500 et plus,,,2000 à 2500,,Réseau de relations personnelles,Accès direct,2007,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE,,,,,
